(ep: 4, it: 36759, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.520, acc_r: 0.560
(ep: 4, it: 41759, t: 0.002[s], ept: 0.03/0.05[h]) loss_total: 0.550, acc_r: 0.580
(ep: 4, it: 46759, t: 0.002[s], ept: 0.03/0.05[h]) loss_total: 0.440, acc_r: 0.460
(ep: 4, it: 51759, t: 0.002[s], ept: 0.03/0.05[h]) loss_total: 0.460, acc_r: 0.400
(ep: 4, it: 56759, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.515, acc_r: 0.460
(ep: 4, it: 61759, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.552, acc_r: 0.580
(ep: 4, it: 66759, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.520, acc_r: 0.580
(ep: 4, it: 71759, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.484, acc_r: 0.500
(ep: 4, it: 76759, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.471, acc_r: 0.480
(ep: 4, it: 81759, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.499, acc_r: 0.480
(ep: 5, it: 4012, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.516, acc_r: 0.560
(ep: 5, it: 9012, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.518, acc_r: 0.580
(ep: 5, it: 14012, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.522, acc_r: 0.600
(ep: 5, it: 19012, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.583, acc_r: 0.640
(ep: 5, it: 24012, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.471, acc_r: 0.460
(ep: 5, it: 29012, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.507, acc_r: 0.600
(ep: 5, it: 34012, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.534, acc_r: 0.580
(ep: 5, it: 39012, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.518, acc_r: 0.460
(ep: 5, it: 44012, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.494, acc_r: 0.440
(ep: 5, it: 49012, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.496, acc_r: 0.560
(ep: 5, it: 54012, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.517, acc_r: 0.500
(ep: 5, it: 59012, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.500, acc_r: 0.580
(ep: 5, it: 64012, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.519, acc_r: 0.580
(ep: 5, it: 69012, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.548, acc_r: 0.620
(ep: 5, it: 74012, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.470, acc_r: 0.500
(ep: 5, it: 79012, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.514, acc_r: 0.600
(ep: 6, it: 1265, t: 0.003[s], ept: 0.00/0.08[h]) loss_total: 0.592, acc_r: 0.660
(ep: 6, it: 6265, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.478, acc_r: 0.480
(ep: 6, it: 11265, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.546, acc_r: 0.600
(ep: 6, it: 16265, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.506, acc_r: 0.460
(ep: 6, it: 21265, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.494, acc_r: 0.380
(ep: 6, it: 26265, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.485, acc_r: 0.520
(ep: 6, it: 31265, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.487, acc_r: 0.460
(ep: 6, it: 36265, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.450, acc_r: 0.420
(ep: 6, it: 41265, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.466, acc_r: 0.440
(ep: 6, it: 46265, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.472, acc_r: 0.500
(ep: 6, it: 51265, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.485, acc_r: 0.480
(ep: 6, it: 56265, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.510, acc_r: 0.580
(ep: 6, it: 61265, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.537, acc_r: 0.640
(ep: 6, it: 66265, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.551, acc_r: 0.560
(ep: 6, it: 71265, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.513, acc_r: 0.500
(ep: 6, it: 76265, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.518, acc_r: 0.420
(ep: 6, it: 81265, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.486, acc_r: 0.480
(ep: 7, it: 3518, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.513, acc_r: 0.540
(ep: 7, it: 8518, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.534, acc_r: 0.560
