(ep: 1, it: 5000, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.274, acc_r: 0.490
(ep: 1, it: 10000, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.177, acc_r: 0.090
(ep: 1, it: 15000, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.139, acc_r: 0.130
(ep: 1, it: 20000, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.164, acc_r: 0.070
(ep: 1, it: 25000, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.194, acc_r: 0.140
(ep: 1, it: 30000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.147, acc_r: 0.060
(ep: 1, it: 35000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.143, acc_r: 0.060
(ep: 1, it: 40000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.156, acc_r: 0.080
(ep: 1, it: 45000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.148, acc_r: 0.060
(ep: 1, it: 50000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.175, acc_r: 0.150
(ep: 1, it: 55000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.166, acc_r: 0.140
(ep: 1, it: 60000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.158, acc_r: 0.140
(ep: 1, it: 65000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.168, acc_r: 0.080
(ep: 1, it: 70000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.156, acc_r: 0.100
(ep: 1, it: 75000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.170, acc_r: 0.070
(ep: 1, it: 80000, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.164, acc_r: 0.090
(ep: 2, it: 2253, t: 0.002[s], ept: 0.00/0.07[h]) loss_total: 0.157, acc_r: 0.070
(ep: 2, it: 7253, t: 0.003[s], ept: 0.00/0.05[h]) loss_total: 0.159, acc_r: 0.130
(ep: 2, it: 12253, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.192, acc_r: 0.130
(ep: 2, it: 17253, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.176, acc_r: 0.100
